"hss_id","female","ses","schtyp","prog","read","write","math","science","socst","honors","awards","cid"
"HSS_47",1,1,1,2,47,46,49,33,41,0,0,4
"HSS_48",0,2,1,2,57,55,52,50,51,0,2,11
"HSS_49",0,3,1,3,50,40,39,49,47,0,0,5
"HSS_50",0,2,1,1,50,59,42,53,61,0,2,9
"HSS_51",1,3,1,1,42,36,42,31,39,0,0,1
"HSS_52",1,1,1,2,50,46,53,53,66,0,0,9
"HSS_53",0,2,1,3,34,37,46,39,31,0,0,1
"HSS_54",1,1,2,1,47,54,46,50,56,0,1,8
"HSS_56",0,2,1,3,55,45,46,58,51,0,0,9
"HSS_57",1,2,1,2,71,65,72,66,56,1,5,20
"HSS_59",1,2,1,2,65,67,63,55,71,1,7,18
"HSS_60",0,2,1,2,57,65,51,63,61,1,5,16
"HSS_61",1,3,1,2,76,63,60,67,66,1,4,20
"HSS_62",0,3,1,1,65,65,48,63,66,1,5,16
"HSS_63",1,1,1,1,52,65,60,56,51,1,5,15
"HSS_64",1,3,1,3,50,52,45,58,36,0,1,10
"HSS_65",1,2,1,2,55,54,66,42,56,0,1,12
"HSS_66",1,2,1,3,68,62,56,50,51,1,3,16
"HSS_67",0,1,1,3,37,37,42,33,32,0,0,1
"HSS_68",0,2,1,2,73,67,71,63,66,1,7,20
"HSS_69",1,1,1,3,44,44,40,40,31,0,0,3
"HSS_70",0,1,1,1,57,52,41,47,57,0,1,8
"HSS_71",1,2,1,1,57,62,56,58,66,1,3,15
"HSS_72",1,2,1,3,42,54,47,47,46,0,1,6
"HSS_73",1,2,1,2,50,52,53,39,56,0,1,7
"HSS_75",0,2,1,3,60,46,51,53,61,0,0,10
"HSS_76",0,3,1,2,47,52,51,50,56,0,1,9
"HSS_77",1,1,1,2,61,59,49,44,66,0,2,11
"HSS_78",1,2,1,2,39,54,54,53,41,0,1,9
"HSS_79",1,2,1,2,60,62,49,50,51,1,3,12
"HSS_80",0,3,1,2,65,62,68,66,66,1,3,19
"HSS_81",0,1,1,2,63,43,59,65,44,0,0,14
"HSS_83",1,2,1,3,50,62,41,55,31,1,3,10
"HSS_84",0,2,1,1,63,57,54,58,51,0,2,15
"HSS_86",0,3,1,1,44,33,54,58,31,0,0,6
"HSS_88",1,3,1,2,68,60,64,69,66,1,2,19
"HSS_89",1,1,1,3,35,35,40,51,33,0,0,2
"HSS_90",1,3,1,2,42,54,50,50,52,0,1,8
"HSS_91",1,3,1,3,50,49,56,47,46,0,0,9
"HSS_92",1,3,1,1,52,67,57,63,61,1,7,16
"HSS_94",0,3,1,2,55,49,61,61,56,0,0,14
"HSS_95",0,3,1,2,73,60,71,61,71,1,2,20
"HSS_96",1,3,1,2,65,54,61,58,56,0,1,16
"HSS_97",0,3,1,2,60,54,58,58,61,0,1,14
"HSS_98",1,1,1,3,57,60,51,53,37,1,2,12
"HSS_99",1,3,1,1,47,59,56,66,61,0,2,14
"HSS_100",1,3,1,2,63,65,71,69,71,1,5,20
"HSS_101",1,3,1,2,60,62,67,50,56,1,3,16
"HSS_102",0,3,1,2,52,41,51,53,56,0,0,8
"HSS_103",0,3,1,2,76,52,64,64,61,0,1,19
"HSS_104",0,3,1,2,54,63,57,55,46,1,4,14
"HSS_105",1,2,1,2,50,41,45,44,56,0,0,5
"HSS_106",1,2,1,3,36,44,37,42,41,0,0,2
"HSS_107",0,1,1,3,47,39,47,42,26,0,0,4
"HSS_108",0,2,1,1,34,33,41,36,36,0,0,1
"HSS_109",1,2,1,1,42,39,42,42,41,0,0,2
"HSS_110",1,2,1,3,52,55,50,54,61,0,2,11
"HSS_111",1,1,1,1,39,54,39,47,36,0,1,5
"HSS_112",1,2,1,2,52,59,48,55,61,0,2,11
"HSS_113",0,2,1,2,44,52,51,63,61,0,1,11
"HSS_114",0,3,1,2,68,65,62,55,61,1,5,18
"HSS_115",0,1,1,1,42,49,43,50,56,0,0,6
"HSS_116",1,2,1,2,57,59,54,50,56,0,2,12
"HSS_117",0,3,1,3,34,49,39,42,56,0,0,2
"HSS_118",1,2,1,1,55,62,58,58,61,1,3,15
"HSS_119",1,1,1,1,42,57,45,50,43,0,2,7
"HSS_120",1,3,1,2,63,52,54,50,51,0,1,12
"HSS_121",1,2,1,3,68,59,53,63,61,0,2,17
"HSS_122",1,2,1,2,52,59,58,53,66,0,2,12
"HSS_123",0,3,1,1,68,59,56,63,66,0,2,18
"HSS_124",1,1,1,3,42,54,41,42,41,0,1,5
"HSS_125",1,1,1,2,68,65,58,59,56,1,5,18
"HSS_126",0,2,1,1,42,31,57,47,51,0,0,4
"HSS_127",0,3,1,2,63,59,57,55,56,0,2,15
"HSS_128",0,3,1,2,39,33,38,47,41,0,0,2
"HSS_129",1,1,1,1,44,44,46,47,51,0,0,6
"HSS_130",1,3,1,1,43,54,55,55,46,0,1,10
"HSS_131",1,3,1,2,65,59,57,46,66,0,2,14
"HSS_132",0,2,1,2,73,62,73,69,66,1,3,20
"HSS_134",0,1,1,1,44,44,39,34,46,0,0,2
"HSS_135",1,1,1,2,63,60,65,54,66,1,2,17
"HSS_136",0,2,1,2,65,59,70,63,51,0,2,19
"HSS_137",1,3,1,2,63,65,65,53,61,1,5,17
"HSS_138",1,2,1,3,43,57,40,50,51,0,2,7
"HSS_139",1,2,1,2,68,59,61,55,71,0,2,17
"HSS_142",1,2,1,3,47,42,52,39,51,0,0,5
"HSS_143",0,2,1,3,63,63,75,72,66,1,4,20
"HSS_144",0,3,1,1,60,65,58,61,66,1,5,17
"HSS_145",1,2,1,3,42,46,38,36,46,0,0,2
"HSS_146",0,3,1,2,55,62,64,63,66,1,3,17
"HSS_147",1,1,1,2,47,62,53,53,61,1,3,11
"HSS_148",1,2,1,3,42,57,51,47,61,0,2,8
"HSS_149",0,1,1,1,63,49,49,66,46,0,0,14
"HSS_150",0,2,1,3,42,41,57,72,31,0,0,11
"HSS_151",1,2,1,3,47,46,52,48,46,0,0,7
"HSS_152",1,3,1,2,55,57,56,58,61,0,2,13
"HSS_153",0,2,1,3,39,31,40,39,51,0,0,1
"HSS_154",0,3,1,2,65,65,66,61,66,1,5,19
"HSS_155",0,2,1,1,44,44,46,39,51,0,0,3
"HSS_156",1,2,1,2,50,59,53,61,61,0,2,13
"HSS_157",0,2,1,1,68,59,58,74,66,0,2,19
"HSS_159",0,3,1,2,55,61,54,49,61,1,3,12
"HSS_160",1,2,1,2,55,65,55,50,61,1,5,13
"HSS_161",1,1,1,2,57,62,72,61,61,1,3,18
"HSS_163",1,1,1,2,52,57,64,58,56,0,2,15
"HSS_164",0,2,1,3,31,36,46,39,46,0,0,1
"HSS_165",0,1,1,3,36,49,54,61,36,0,0,8
"HSS_166",1,2,1,2,52,59,53,61,51,0,2,13
"HSS_167",0,2,1,1,63,49,35,66,41,0,0,11
"HSS_168",0,2,1,2,52,54,57,55,51,0,1,12
"HSS_169",0,1,1,1,55,59,63,69,46,0,2,18
"HSS_170",0,3,1,2,47,62,61,69,66,1,3,16
"HSS_171",0,2,1,2,60,54,60,55,66,0,1,14
"HSS_172",0,2,1,2,47,52,57,53,61,0,1,10
"HSS_173",1,1,1,1,50,62,61,63,51,1,3,16
"HSS_174",0,2,2,2,68,59,71,66,56,0,2,20
"HSS_175",1,3,2,1,36,57,42,50,41,0,2,6
"HSS_176",0,2,2,2,47,47,41,42,51,0,0,4
"HSS_177",0,2,2,2,55,59,62,58,51,0,2,15
"HSS_178",0,2,2,3,47,57,57,58,46,0,2,12
"HSS_180",1,3,2,2,71,65,69,58,71,1,5,20
"HSS_181",0,2,2,2,50,46,45,58,61,0,0,8
"HSS_182",1,2,2,2,44,52,43,44,51,0,1,6
"HSS_183",0,2,2,2,63,59,49,55,71,0,2,13
"HSS_184",1,2,2,3,50,52,53,55,56,0,1,10
"HSS_185",0,2,2,2,63,57,55,58,41,0,2,15
"HSS_186",1,2,2,2,57,62,63,55,41,1,3,16
"HSS_187",1,2,2,1,57,41,57,55,52,0,0,10
"HSS_188",1,3,2,2,63,62,56,55,61,1,3,16
"HSS_189",0,2,2,2,47,59,63,53,46,0,2,13
"HSS_190",1,2,2,2,47,59,54,58,46,0,2,12
"HSS_191",1,3,2,2,47,52,43,48,61,0,1,7
"HSS_192",0,3,2,2,65,67,63,66,71,1,7,19
"HSS_193",1,2,2,2,44,49,48,39,51,0,0,5
"HSS_194",1,3,2,2,63,63,69,61,61,1,4,19
"HSS_195",0,2,2,1,57,57,60,58,56,0,2,15
"HSS_196",0,3,2,2,44,38,49,39,46,0,0,3
"HSS_197",0,3,2,2,50,42,50,36,61,0,0,5
"HSS_198",1,3,2,2,47,61,51,63,31,1,3,13
